,Year,City,Type of structure,Type of unit,Rent Price
117222,2021,Kenora,Apartment structures of six units and over,Two bedroom units,909.0
117225,2021,Kincardine,Row and apartment structures of three units and over,One bedroom units,975.0
117226,2021,Kincardine,Row and apartment structures of three units and over,Two bedroom units,1158.0
117233,2021,Kincardine,Apartment structures of three units and over,One bedroom units,975.0
117234,2021,Kincardine,Apartment structures of three units and over,Two bedroom units,1158.0
117237,2021,Kincardine,Apartment structures of six units and over,One bedroom units,1022.0
117238,2021,Kincardine,Apartment structures of six units and over,Two bedroom units,1224.0
117241,2021,Kings Subdivision,Row and apartment structures of three units and over,One bedroom units,648.0
117242,2021,Kings Subdivision,Row and apartment structures of three units and over,Two bedroom units,953.0
117249,2021,Kings Subdivision,Apartment structures of three units and over,One bedroom units,648.0
117250,2021,Kings Subdivision,Apartment structures of three units and over,Two bedroom units,942.0
117253,2021,Kings Subdivision,Apartment structures of six units and over,One bedroom units,648.0
117254,2021,Kings Subdivision,Apartment structures of six units and over,Two bedroom units,768.0
117256,2021,Kingston,Row and apartment structures of three units and over,Bachelor units,912.0
117257,2021,Kingston,Row and apartment structures of three units and over,One bedroom units,1184.0
117258,2021,Kingston,Row and apartment structures of three units and over,Two bedroom units,1406.0
117259,2021,Kingston,Row and apartment structures of three units and over,Three bedroom units,2224.0
117263,2021,Kingston,Row structures of three units and over,Three bedroom units,1573.0
117264,2021,Kingston,Apartment structures of three units and over,Bachelor units,912.0
117265,2021,Kingston,Apartment structures of three units and over,One bedroom units,1178.0
117266,2021,Kingston,Apartment structures of three units and over,Two bedroom units,1402.0
117267,2021,Kingston,Apartment structures of three units and over,Three bedroom units,2367.0
117268,2021,Kingston,Apartment structures of six units and over,Bachelor units,905.0
117269,2021,Kingston,Apartment structures of six units and over,One bedroom units,1180.0
117270,2021,Kingston,Apartment structures of six units and over,Two bedroom units,1404.0
117271,2021,Kingston,Apartment structures of six units and over,Three bedroom units,2427.0
117272,2021,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Bachelor units,948.0
117273,2021,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,One bedroom units,1131.0
117274,2021,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Two bedroom units,1349.0
117275,2021,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Three bedroom units,1742.0
117277,2021,Kitchener-Cambridge-Waterloo,Row structures of three units and over,One bedroom units,1017.0
117278,2021,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Two bedroom units,1224.0
117279,2021,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Three bedroom units,1405.0
117280,2021,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Bachelor units,950.0
117281,2021,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,One bedroom units,1134.0
117282,2021,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Two bedroom units,1356.0
117283,2021,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Three bedroom units,1959.0
117284,2021,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Bachelor units,963.0
117285,2021,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,One bedroom units,1142.0
117286,2021,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Two bedroom units,1366.0
117287,2021,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Three bedroom units,2000.0
117290,2021,Lambton Shores,Row and apartment structures of three units and over,Two bedroom units,889.0
117298,2021,Lambton Shores,Apartment structures of three units and over,Two bedroom units,889.0
117302,2021,Lambton Shores,Apartment structures of six units and over,Two bedroom units,889.0
117305,2021,Leamington,Row and apartment structures of three units and over,One bedroom units,961.0
117306,2021,Leamington,Row and apartment structures of three units and over,Two bedroom units,1213.0
117307,2021,Leamington,Row and apartment structures of three units and over,Three bedroom units,1438.0
117313,2021,Leamington,Apartment structures of three units and over,One bedroom units,963.0
117314,2021,Leamington,Apartment structures of three units and over,Two bedroom units,1226.0
117315,2021,Leamington,Apartment structures of three units and over,Three bedroom units,1375.0
117317,2021,Leamington,Apartment structures of six units and over,One bedroom units,973.0
117318,2021,Leamington,Apartment structures of six units and over,Two bedroom units,1248.0
117320,2021,London,Row and apartment structures of three units and over,Bachelor units,780.0
117321,2021,London,Row and apartment structures of three units and over,One bedroom units,1036.0
117322,2021,London,Row and apartment structures of three units and over,Two bedroom units,1279.0
117323,2021,London,Row and apartment structures of three units and over,Three bedroom units,1410.0
117326,2021,London,Row structures of three units and over,Two bedroom units,1351.0
117327,2021,London,Row structures of three units and over,Three bedroom units,1375.0
117328,2021,London,Apartment structures of three units and over,Bachelor units,780.0
117329,2021,London,Apartment structures of three units and over,One bedroom units,1036.0
117330,2021,London,Apartment structures of three units and over,Two bedroom units,1275.0
117331,2021,London,Apartment structures of three units and over,Three bedroom units,1468.0
117332,2021,London,Apartment structures of six units and over,Bachelor units,814.0
117333,2021,London,Apartment structures of six units and over,One bedroom units,1052.0
117334,2021,London,Apartment structures of six units and over,Two bedroom units,1297.0
117335,2021,London,Apartment structures of six units and over,Three bedroom units,1589.0
117337,2021,Meaford,Row and apartment structures of three units and over,One bedroom units,800.0
117338,2021,Meaford,Row and apartment structures of three units and over,Two bedroom units,970.0
117345,2021,Meaford,Apartment structures of three units and over,One bedroom units,804.0
117346,2021,Meaford,Apartment structures of three units and over,Two bedroom units,983.0
117349,2021,Meaford,Apartment structures of six units and over,One bedroom units,801.0
117350,2021,Meaford,Apartment structures of six units and over,Two bedroom units,999.0
117353,2021,Midland,Row and apartment structures of three units and over,One bedroom units,996.0
117354,2021,Midland,Row and apartment structures of three units and over,Two bedroom units,1177.0
117361,2021,Midland,Apartment structures of three units and over,One bedroom units,996.0
117362,2021,Midland,Apartment structures of three units and over,Two bedroom units,1177.0
117365,2021,Midland,Apartment structures of six units and over,One bedroom units,1038.0
117366,2021,Midland,Apartment structures of six units and over,Two bedroom units,1198.0
117368,2021,Mississippi Mills,Row and apartment structures of three units and over,Bachelor units,0.0
117369,2021,Mississippi Mills,Row and apartment structures of three units and over,One bedroom units,0.0
117370,2021,Mississippi Mills,Row and apartment structures of three units and over,Two bedroom units,0.0
117371,2021,Mississippi Mills,Row and apartment structures of three units and over,Three bedroom units,0.0
117372,2021,Mississippi Mills,Row structures of three units and over,Bachelor units,0.0
117373,2021,Mississippi Mills,Row structures of three units and over,One bedroom units,0.0
117374,2021,Mississippi Mills,Row structures of three units and over,Two bedroom units,0.0
117375,2021,Mississippi Mills,Row structures of three units and over,Three bedroom units,0.0
117376,2021,Mississippi Mills,Apartment structures of three units and over,Bachelor units,0.0
117377,2021,Mississippi Mills,Apartment structures of three units and over,One bedroom units,0.0
117378,2021,Mississippi Mills,Apartment structures of three units and over,Two bedroom units,0.0
117379,2021,Mississippi Mills,Apartment structures of three units and over,Three bedroom units,0.0
117380,2021,Mississippi Mills,Apartment structures of six units and over,Bachelor units,0.0
117381,2021,Mississippi Mills,Apartment structures of six units and over,One bedroom units,0.0
117382,2021,Mississippi Mills,Apartment structures of six units and over,Two bedroom units,0.0
117383,2021,Mississippi Mills,Apartment structures of six units and over,Three bedroom units,0.0
117385,2021,Norfolk,Row and apartment structures of three units and over,One bedroom units,828.0
117386,2021,Norfolk,Row and apartment structures of three units and over,Two bedroom units,867.0
117393,2021,Norfolk,Apartment structures of three units and over,One bedroom units,828.0
117394,2021,Norfolk,Apartment structures of three units and over,Two bedroom units,869.0
117397,2021,Norfolk,Apartment structures of six units and over,One bedroom units,837.0
117398,2021,Norfolk,Apartment structures of six units and over,Two bedroom units,967.0
117400,2021,North Bay,Row and apartment structures of three units and over,Bachelor units,650.0
117401,2021,North Bay,Row and apartment structures of three units and over,One bedroom units,859.0
117402,2021,North Bay,Row and apartment structures of three units and over,Two bedroom units,1059.0
117403,2021,North Bay,Row and apartment structures of three units and over,Three bedroom units,1206.0
117407,2021,North Bay,Row structures of three units and over,Three bedroom units,1110.0
117408,2021,North Bay,Apartment structures of three units and over,Bachelor units,650.0
117409,2021,North Bay,Apartment structures of three units and over,One bedroom units,862.0
117410,2021,North Bay,Apartment structures of three units and over,Two bedroom units,1057.0
117411,2021,North Bay,Apartment structures of three units and over,Three bedroom units,1367.0
117412,2021,North Bay,Apartment structures of six units and over,Bachelor units,654.0
117413,2021,North Bay,Apartment structures of six units and over,One bedroom units,872.0
117414,2021,North Bay,Apartment structures of six units and over,Two bedroom units,1076.0
117415,2021,North Bay,Apartment structures of six units and over,Three bedroom units,1253.0
117416,2021,North Grenville,Row and apartment structures of three units and over,Bachelor units,0.0
117417,2021,North Grenville,Row and apartment structures of three units and over,One bedroom units,0.0
117418,2021,North Grenville,Row and apartment structures of three units and over,Two bedroom units,0.0
117419,2021,North Grenville,Row and apartment structures of three units and over,Three bedroom units,0.0
117420,2021,North Grenville,Row structures of three units and over,Bachelor units,0.0
117421,2021,North Grenville,Row structures of three units and over,One bedroom units,0.0
117422,2021,North Grenville,Row structures of three units and over,Two bedroom units,0.0
117423,2021,North Grenville,Row structures of three units and over,Three bedroom units,0.0
117424,2021,North Grenville,Apartment structures of three units and over,Bachelor units,0.0
117425,2021,North Grenville,Apartment structures of three units and over,One bedroom units,0.0
117426,2021,North Grenville,Apartment structures of three units and over,Two bedroom units,0.0
117427,2021,North Grenville,Apartment structures of three units and over,Three bedroom units,0.0
117428,2021,North Grenville,Apartment structures of six units and over,Bachelor units,0.0
117429,2021,North Grenville,Apartment structures of six units and over,One bedroom units,0.0
117430,2021,North Grenville,Apartment structures of six units and over,Two bedroom units,0.0
117431,2021,North Grenville,Apartment structures of six units and over,Three bedroom units,0.0
117432,2021,North Perth,Row and apartment structures of three units and over,Bachelor units,732.0
117433,2021,North Perth,Row and apartment structures of three units and over,One bedroom units,854.0
117434,2021,North Perth,Row and apartment structures of three units and over,Two bedroom units,857.0
117435,2021,North Perth,Row and apartment structures of three units and over,Three bedroom units,1024.0
117440,2021,North Perth,Apartment structures of three units and over,Bachelor units,732.0
117441,2021,North Perth,Apartment structures of three units and over,One bedroom units,854.0
117442,2021,North Perth,Apartment structures of three units and over,Two bedroom units,857.0
117443,2021,North Perth,Apartment structures of three units and over,Three bedroom units,1029.0
117444,2021,North Perth,Apartment structures of six units and over,Bachelor units,732.0
117445,2021,North Perth,Apartment structures of six units and over,One bedroom units,854.0
117446,2021,North Perth,Apartment structures of six units and over,Two bedroom units,918.0
117447,2021,North Perth,Apartment structures of six units and over,Three bedroom units,1029.0
117448,2021,Orillia,Row and apartment structures of three units and over,Bachelor units,776.0
117449,2021,Orillia,Row and apartment structures of three units and over,One bedroom units,1057.0
117450,2021,Orillia,Row and apartment structures of three units and over,Two bedroom units,1177.0
117451,2021,Orillia,Row and apartment structures of three units and over,Three bedroom units,1316.0
117456,2021,Orillia,Apartment structures of three units and over,Bachelor units,776.0
117457,2021,Orillia,Apartment structures of three units and over,One bedroom units,1057.0
117458,2021,Orillia,Apartment structures of three units and over,Two bedroom units,1177.0
117459,2021,Orillia,Apartment structures of three units and over,Three bedroom units,1471.0
117460,2021,Orillia,Apartment structures of six units and over,Bachelor units,841.0
117461,2021,Orillia,Apartment structures of six units and over,One bedroom units,1092.0
117462,2021,Orillia,Apartment structures of six units and over,Two bedroom units,1230.0
117464,2021,Oshawa,Row and apartment structures of three units and over,Bachelor units,989.0
117465,2021,Oshawa,Row and apartment structures of three units and over,One bedroom units,1268.0
117466,2021,Oshawa,Row and apartment structures of three units and over,Two bedroom units,1428.0
117467,2021,Oshawa,Row and apartment structures of three units and over,Three bedroom units,1657.0
117471,2021,Oshawa,Row structures of three units and over,Three bedroom units,1790.0
117472,2021,Oshawa,Apartment structures of three units and over,Bachelor units,989.0
117473,2021,Oshawa,Apartment structures of three units and over,One bedroom units,1267.0
117474,2021,Oshawa,Apartment structures of three units and over,Two bedroom units,1417.0
117475,2021,Oshawa,Apartment structures of three units and over,Three bedroom units,1555.0
117476,2021,Oshawa,Apartment structures of six units and over,Bachelor units,980.0
117477,2021,Oshawa,Apartment structures of six units and over,One bedroom units,1278.0
117478,2021,Oshawa,Apartment structures of six units and over,Two bedroom units,1425.0
117479,2021,Oshawa,Apartment structures of six units and over,Three bedroom units,1561.0
117480,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,1007.0
117481,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1204.0
117482,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1379.0
117483,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1546.0
117485,2021,Ottawa-Gatineau,Row structures of three units and over,One bedroom units,1152.0
117486,2021,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1473.0
117487,2021,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1709.0
117488,2021,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,1005.0
117489,2021,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1204.0
117490,2021,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1375.0
117491,2021,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1414.0
117492,2021,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,1014.0
117493,2021,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1225.0
117494,2021,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1408.0
117495,2021,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1483.0
117496,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,1061.0
117497,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1280.0
117498,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1547.0
117499,2021,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1779.0
117501,2021,Ottawa-Gatineau,Row structures of three units and over,One bedroom units,1177.0
117502,2021,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1503.0
117503,2021,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1726.0
117504,2021,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,1059.0
117505,2021,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1280.0
117506,2021,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1550.0
117507,2021,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1881.0
117508,2021,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,1062.0
117509,2021,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1286.0
117510,2021,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1556.0
117511,2021,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1853.0
117512,2021,Owen Sound,Row and apartment structures of three units and over,Bachelor units,689.0
117513,2021,Owen Sound,Row and apartment structures of three units and over,One bedroom units,896.0
117514,2021,Owen Sound,Row and apartment structures of three units and over,Two bedroom units,1015.0
117515,2021,Owen Sound,Row and apartment structures of three units and over,Three bedroom units,1129.0
117520,2021,Owen Sound,Apartment structures of three units and over,Bachelor units,689.0
117521,2021,Owen Sound,Apartment structures of three units and over,One bedroom units,896.0
117522,2021,Owen Sound,Apartment structures of three units and over,Two bedroom units,1015.0
117523,2021,Owen Sound,Apartment structures of three units and over,Three bedroom units,1129.0
117524,2021,Owen Sound,Apartment structures of six units and over,Bachelor units,701.0
117525,2021,Owen Sound,Apartment structures of six units and over,One bedroom units,943.0
117526,2021,Owen Sound,Apartment structures of six units and over,Two bedroom units,1057.0
117527,2021,Owen Sound,Apartment structures of six units and over,Three bedroom units,1098.0
117528,2021,Pembroke,Row and apartment structures of three units and over,Bachelor units,734.0
117529,2021,Pembroke,Row and apartment structures of three units and over,One bedroom units,809.0
117530,2021,Pembroke,Row and apartment structures of three units and over,Two bedroom units,1049.0
117536,2021,Pembroke,Apartment structures of three units and over,Bachelor units,734.0
117537,2021,Pembroke,Apartment structures of three units and over,One bedroom units,812.0
117538,2021,Pembroke,Apartment structures of three units and over,Two bedroom units,1051.0
117540,2021,Pembroke,Apartment structures of six units and over,Bachelor units,745.0
117541,2021,Pembroke,Apartment structures of six units and over,One bedroom units,874.0
117542,2021,Pembroke,Apartment structures of six units and over,Two bedroom units,1105.0
117545,2021,Petawawa,Row and apartment structures of three units and over,One bedroom units,712.0
117546,2021,Petawawa,Row and apartment structures of three units and over,Two bedroom units,846.0
117547,2021,Petawawa,Row and apartment structures of three units and over,Three bedroom units,1021.0
117553,2021,Petawawa,Apartment structures of three units and over,One bedroom units,712.0
117554,2021,Petawawa,Apartment structures of three units and over,Two bedroom units,846.0
117555,2021,Petawawa,Apartment structures of three units and over,Three bedroom units,863.0
117557,2021,Petawawa,Apartment structures of six units and over,One bedroom units,746.0
117558,2021,Petawawa,Apartment structures of six units and over,Two bedroom units,819.0
117559,2021,Petawawa,Apartment structures of six units and over,Three bedroom units,863.0
117560,2021,Peterborough,Row and apartment structures of three units and over,Bachelor units,805.0
117561,2021,Peterborough,Row and apartment structures of three units and over,One bedroom units,1048.0
117562,2021,Peterborough,Row and apartment structures of three units and over,Two bedroom units,1305.0
117563,2021,Peterborough,Row and apartment structures of three units and over,Three bedroom units,1365.0
117565,2021,Peterborough,Row structures of three units and over,One bedroom units,994.0
117566,2021,Peterborough,Row structures of three units and over,Two bedroom units,1026.0
117567,2021,Peterborough,Row structures of three units and over,Three bedroom units,1323.0
117568,2021,Peterborough,Apartment structures of three units and over,Bachelor units,805.0
117569,2021,Peterborough,Apartment structures of three units and over,One bedroom units,1049.0
117570,2021,Peterborough,Apartment structures of three units and over,Two bedroom units,1316.0
117571,2021,Peterborough,Apartment structures of three units and over,Three bedroom units,1403.0
117572,2021,Peterborough,Apartment structures of six units and over,Bachelor units,820.0
117573,2021,Peterborough,Apartment structures of six units and over,One bedroom units,1073.0
117574,2021,Peterborough,Apartment structures of six units and over,Two bedroom units,1348.0
117575,2021,Peterborough,Apartment structures of six units and over,Three bedroom units,1407.0
117577,2021,Port Hope,Row and apartment structures of three units and over,One bedroom units,1432.0
117578,2021,Port Hope,Row and apartment structures of three units and over,Two bedroom units,1440.0
117579,2021,Port Hope,Row and apartment structures of three units and over,Three bedroom units,1628.0
117585,2021,Port Hope,Apartment structures of three units and over,One bedroom units,1432.0
117586,2021,Port Hope,Apartment structures of three units and over,Two bedroom units,1440.0
117587,2021,Port Hope,Apartment structures of three units and over,Three bedroom units,1628.0
117589,2021,Port Hope,Apartment structures of six units and over,One bedroom units,1432.0
117590,2021,Port Hope,Apartment structures of six units and over,Two bedroom units,1440.0
117591,2021,Port Hope,Apartment structures of six units and over,Three bedroom units,1628.0
117593,2021,Prince Edward,Row and apartment structures of three units and over,One bedroom units,910.0
117594,2021,Prince Edward,Row and apartment structures of three units and over,Two bedroom units,981.0
117601,2021,Prince Edward,Apartment structures of three units and over,One bedroom units,829.0
117602,2021,Prince Edward,Apartment structures of three units and over,Two bedroom units,919.0
117605,2021,Prince Edward,Apartment structures of six units and over,One bedroom units,876.0
117624,2021,St. Catharines-Niagara,Row and apartment structures of three units and over,Bachelor units,796.0
117625,2021,St. Catharines-Niagara,Row and apartment structures of three units and over,One bedroom units,1011.0
117626,2021,St. Catharines-Niagara,Row and apartment structures of three units and over,Two bedroom units,1191.0
117627,2021,St. Catharines-Niagara,Row and apartment structures of three units and over,Three bedroom units,1266.0
117630,2021,St. Catharines-Niagara,Row structures of three units and over,Two bedroom units,993.0
117631,2021,St. Catharines-Niagara,Row structures of three units and over,Three bedroom units,1285.0
117632,2021,St. Catharines-Niagara,Apartment structures of three units and over,Bachelor units,796.0
117633,2021,St. Catharines-Niagara,Apartment structures of three units and over,One bedroom units,1012.0
117634,2021,St. Catharines-Niagara,Apartment structures of three units and over,Two bedroom units,1192.0
117635,2021,St. Catharines-Niagara,Apartment structures of three units and over,Three bedroom units,1255.0
117636,2021,St. Catharines-Niagara,Apartment structures of six units and over,Bachelor units,877.0
117637,2021,St. Catharines-Niagara,Apartment structures of six units and over,One bedroom units,1055.0
117638,2021,St. Catharines-Niagara,Apartment structures of six units and over,Two bedroom units,1218.0
117639,2021,St. Catharines-Niagara,Apartment structures of six units and over,Three bedroom units,1385.0
117640,2021,Sarnia,Row and apartment structures of three units and over,Bachelor units,762.0
117641,2021,Sarnia,Row and apartment structures of three units and over,One bedroom units,945.0
117642,2021,Sarnia,Row and apartment structures of three units and over,Two bedroom units,1127.0
117643,2021,Sarnia,Row and apartment structures of three units and over,Three bedroom units,1362.0
117646,2021,Sarnia,Row structures of three units and over,Two bedroom units,1072.0
117647,2021,Sarnia,Row structures of three units and over,Three bedroom units,1251.0
117648,2021,Sarnia,Apartment structures of three units and over,Bachelor units,762.0
117649,2021,Sarnia,Apartment structures of three units and over,One bedroom units,949.0
117650,2021,Sarnia,Apartment structures of three units and over,Two bedroom units,1137.0
117651,2021,Sarnia,Apartment structures of three units and over,Three bedroom units,1508.0
117652,2021,Sarnia,Apartment structures of six units and over,Bachelor units,824.0
117653,2021,Sarnia,Apartment structures of six units and over,One bedroom units,960.0
117654,2021,Sarnia,Apartment structures of six units and over,Two bedroom units,1152.0
117655,2021,Sarnia,Apartment structures of six units and over,Three bedroom units,1577.0
117657,2021,Saugeen Shores,Row and apartment structures of three units and over,One bedroom units,826.0
117658,2021,Saugeen Shores,Row and apartment structures of three units and over,Two bedroom units,1313.0
117659,2021,Saugeen Shores,Row and apartment structures of three units and over,Three bedroom units,1333.0
117665,2021,Saugeen Shores,Apartment structures of three units and over,One bedroom units,826.0
117666,2021,Saugeen Shores,Apartment structures of three units and over,Two bedroom units,1291.0
117667,2021,Saugeen Shores,Apartment structures of three units and over,Three bedroom units,1333.0
117669,2021,Saugeen Shores,Apartment structures of six units and over,One bedroom units,847.0
117670,2021,Saugeen Shores,Apartment structures of six units and over,Two bedroom units,1349.0
117671,2021,Saugeen Shores,Apartment structures of six units and over,Three bedroom units,1333.0
117672,2021,Sault Ste. Marie,Row and apartment structures of three units and over,Bachelor units,671.0
117673,2021,Sault Ste. Marie,Row and apartment structures of three units and over,One bedroom units,871.0
117674,2021,Sault Ste. Marie,Row and apartment structures of three units and over,Two bedroom units,1057.0
117675,2021,Sault Ste. Marie,Row and apartment structures of three units and over,Three bedroom units,1144.0
117678,2021,Sault Ste. Marie,Row structures of three units and over,Two bedroom units,1452.0
117679,2021,Sault Ste. Marie,Row structures of three units and over,Three bedroom units,1366.0
117680,2021,Sault Ste. Marie,Apartment structures of three units and over,Bachelor units,671.0
117681,2021,Sault Ste. Marie,Apartment structures of three units and over,One bedroom units,871.0
117682,2021,Sault Ste. Marie,Apartment structures of three units and over,Two bedroom units,1037.0
117683,2021,Sault Ste. Marie,Apartment structures of three units and over,Three bedroom units,1027.0
117684,2021,Sault Ste. Marie,Apartment structures of six units and over,Bachelor units,704.0
117685,2021,Sault Ste. Marie,Apartment structures of six units and over,One bedroom units,901.0
117686,2021,Sault Ste. Marie,Apartment structures of six units and over,Two bedroom units,1055.0
117687,2021,Sault Ste. Marie,Apartment structures of six units and over,Three bedroom units,1101.0
117689,2021,Scugog,Row and apartment structures of three units and over,One bedroom units,959.0
117690,2021,Scugog,Row and apartment structures of three units and over,Two bedroom units,1198.0
117697,2021,Scugog,Apartment structures of three units and over,One bedroom units,959.0
117698,2021,Scugog,Apartment structures of three units and over,Two bedroom units,1198.0
117704,2021,Stratford,Row and apartment structures of three units and over,Bachelor units,752.0
117705,2021,Stratford,Row and apartment structures of three units and over,One bedroom units,947.0
117706,2021,Stratford,Row and apartment structures of three units and over,Two bedroom units,1139.0
117707,2021,Stratford,Row and apartment structures of three units and over,Three bedroom units,1222.0
117712,2021,Stratford,Apartment structures of three units and over,Bachelor units,752.0
117713,2021,Stratford,Apartment structures of three units and over,One bedroom units,947.0
117714,2021,Stratford,Apartment structures of three units and over,Two bedroom units,1142.0
117715,2021,Stratford,Apartment structures of three units and over,Three bedroom units,1226.0
117716,2021,Stratford,Apartment structures of six units and over,Bachelor units,751.0
117717,2021,Stratford,Apartment structures of six units and over,One bedroom units,954.0
117718,2021,Stratford,Apartment structures of six units and over,Two bedroom units,1157.0
117719,2021,Stratford,Apartment structures of six units and over,Three bedroom units,1245.0
117720,2021,Temiskaming Shores,Row and apartment structures of three units and over,Bachelor units,0.0
117721,2021,Temiskaming Shores,Row and apartment structures of three units and over,One bedroom units,0.0
117722,2021,Temiskaming Shores,Row and apartment structures of three units and over,Two bedroom units,0.0
117723,2021,Temiskaming Shores,Row and apartment structures of three units and over,Three bedroom units,0.0
117724,2021,Temiskaming Shores,Row structures of three units and over,Bachelor units,0.0
117725,2021,Temiskaming Shores,Row structures of three units and over,One bedroom units,0.0
117726,2021,Temiskaming Shores,Row structures of three units and over,Two bedroom units,0.0
117727,2021,Temiskaming Shores,Row structures of three units and over,Three bedroom units,0.0
117728,2021,Temiskaming Shores,Apartment structures of three units and over,Bachelor units,0.0
117729,2021,Temiskaming Shores,Apartment structures of three units and over,One bedroom units,0.0
117730,2021,Temiskaming Shores,Apartment structures of three units and over,Two bedroom units,0.0
117731,2021,Temiskaming Shores,Apartment structures of three units and over,Three bedroom units,0.0
117732,2021,Temiskaming Shores,Apartment structures of six units and over,Bachelor units,0.0
117733,2021,Temiskaming Shores,Apartment structures of six units and over,One bedroom units,0.0
117734,2021,Temiskaming Shores,Apartment structures of six units and over,Two bedroom units,0.0
117735,2021,Temiskaming Shores,Apartment structures of six units and over,Three bedroom units,0.0
117752,2021,Thunder Bay,Row and apartment structures of three units and over,Bachelor units,751.0
117753,2021,Thunder Bay,Row and apartment structures of three units and over,One bedroom units,928.0
117754,2021,Thunder Bay,Row and apartment structures of three units and over,Two bedroom units,1116.0
117755,2021,Thunder Bay,Row and apartment structures of three units and over,Three bedroom units,1261.0
117758,2021,Thunder Bay,Row structures of three units and over,Two bedroom units,1303.0
117759,2021,Thunder Bay,Row structures of three units and over,Three bedroom units,1233.0
117760,2021,Thunder Bay,Apartment structures of three units and over,Bachelor units,751.0
117761,2021,Thunder Bay,Apartment structures of three units and over,One bedroom units,928.0
117762,2021,Thunder Bay,Apartment structures of three units and over,Two bedroom units,1112.0
117763,2021,Thunder Bay,Apartment structures of three units and over,Three bedroom units,1308.0
117764,2021,Thunder Bay,Apartment structures of six units and over,Bachelor units,769.0
117765,2021,Thunder Bay,Apartment structures of six units and over,One bedroom units,954.0
117766,2021,Thunder Bay,Apartment structures of six units and over,Two bedroom units,1103.0
117767,2021,Thunder Bay,Apartment structures of six units and over,Three bedroom units,1286.0
117768,2021,Tillsonburg,Row and apartment structures of three units and over,Bachelor units,713.0
117769,2021,Tillsonburg,Row and apartment structures of three units and over,One bedroom units,855.0
117770,2021,Tillsonburg,Row and apartment structures of three units and over,Two bedroom units,1088.0
117771,2021,Tillsonburg,Row and apartment structures of three units and over,Three bedroom units,1133.0
117776,2021,Tillsonburg,Apartment structures of three units and over,Bachelor units,713.0
117777,2021,Tillsonburg,Apartment structures of three units and over,One bedroom units,856.0
117778,2021,Tillsonburg,Apartment structures of three units and over,Two bedroom units,1100.0
117779,2021,Tillsonburg,Apartment structures of three units and over,Three bedroom units,1133.0
117780,2021,Tillsonburg,Apartment structures of six units and over,Bachelor units,801.0
117781,2021,Tillsonburg,Apartment structures of six units and over,One bedroom units,929.0
117782,2021,Tillsonburg,Apartment structures of six units and over,Two bedroom units,1122.0
117783,2021,Tillsonburg,Apartment structures of six units and over,Three bedroom units,1133.0
117784,2021,Timmins,Row and apartment structures of three units and over,Bachelor units,591.0
117785,2021,Timmins,Row and apartment structures of three units and over,One bedroom units,890.0
117786,2021,Timmins,Row and apartment structures of three units and over,Two bedroom units,1034.0
